#solver	iter	latency-throughput
ecmp	0	
		1. : 0.258125020181
		2. : 0.576601540624
		3. : 0.751070026828
		4. : 0.883382563831
		5. : 0.926865337456
ecmp	1	
		1. : 0.254421794112
		2. : 0.565771742875
		3. : 0.736312184754
		4. : 0.872186703932
		5. : 0.920574528357
ecmp	2	
		1. : 0.249425151924
		2. : 0.562936955969
		3. : 0.737831559882
		4. : 0.871656246359
		5. : 0.917869733224
ecmp	3	
		1. : 0.255208155643
		2. : 0.566861272398
		3. : 0.734373129123
		4. : 0.873127411158
		5. : 0.921336401339
ecmp	4	
		1. : 0.255440333118
		2. : 0.572496849714
		3. : 0.741083620526
		4. : 0.879648485406
		5. : 0.927623768415
ecmp	5	
		1. : 0.25762854944
		2. : 0.58076730691
		3. : 0.759840401483
		4. : 0.890920214369
		5. : 0.937833655364
ecmp	6	
		1. : 0.257995304706
		2. : 0.586208511274
		3. : 0.765497638489
		4. : 0.897914805406
		5. : 0.938639754647
ecmp	7	
		1. : 0.258031186714
		2. : 0.583005667757
		3. : 0.764283383489
		4. : 0.900151939115
		5. : 0.94255533417
ecmp	8	
		1. : 0.257254668819
		2. : 0.582795814102
		3. : 0.767827244763
		4. : 0.900720280184
		5. : 0.94078532502
ecmp	9	
		1. : 0.261124259969
		2. : 0.580577571277
		3. : 0.754835643228
		4. : 0.894012628616
		5. : 0.941283814135
ksp	0	
		1. : 0.0807218056243
		2. : 0.183564990865
		3. : 0.345482258832
		4. : 0.564232754852
		5. : 0.737453912893
		6. : 0.799160569254
		7. : 0.79957745325
ksp	1	
		1. : 0.0821589203836
		2. : 0.183245149173
		3. : 0.34334126832
		4. : 0.560823044862
		5. : 0.741683475219
		6. : 0.807406039254
		7. : 0.807794458868
ksp	2	
		1. : 0.0811572626533
		2. : 0.182683850114
		3. : 0.341384182114
		4. : 0.556124729361
		5. : 0.730666202639
		6. : 0.792530734365
		7. : 0.792957745513
ksp	3	
		1. : 0.0798584123979
		2. : 0.178129753196
		3. : 0.331719094616
		4. : 0.540898015711
		5. : 0.718438147525
		6. : 0.782412960198
		7. : 0.782728143215
ksp	4	
		1. : 0.0808888178133
		2. : 0.181731627711
		3. : 0.339202152684
		4. : 0.55339405812
		5. : 0.732629336479
		6. : 0.797880738327
		7. : 0.798196797212
ksp	5	
		1. : 0.0818210676862
		2. : 0.185717674928
		3. : 0.348893485703
		4. : 0.567829189459
		5. : 0.744662447102
		6. : 0.808601178613
		7. : 0.808875715478
ksp	6	
		1. : 0.0802126337981
		2. : 0.185337263913
		3. : 0.349933942038
		4. : 0.569162625575
